aeso_price,year,month,hour,day
21.81,2017,Sep,19,11
27.2,2017,Sep,20,11
30.08,2017,Sep,21,11
23.41,2017,Sep,22,11
19.29,2017,Sep,23,11
18.37,2017,Sep,0,12
18.29,2017,Sep,1,12
18.39,2017,Sep,2,12
18.32,2017,Sep,3,12
18.28,2017,Sep,4,12
17.56,2017,Sep,5,12
16.75,2017,Sep,6,12
18.31,2017,Sep,7,12
18.39,2017,Sep,8,12
18.94,2017,Sep,9,12
25.46,2017,Sep,10,12
34.49,2017,Sep,11,12
30.85,2017,Sep,12,12
19.82,2017,Sep,13,12
20.42,2017,Sep,14,12
23.79,2017,Sep,15,12
20.43,2017,Sep,16,12
20.43,2017,Sep,17,12
20.43,2017,Sep,18,12
19.54,2017,Sep,19,12
18.52,2017,Sep,20,12
20.1,2017,Sep,21,12
18.36,2017,Sep,22,12
18.28,2017,Sep,23,12
18.29,2017,Sep,0,13
18.39,2017,Sep,1,13
18.41,2017,Sep,2,13
18.29,2017,Sep,3,13
18.29,2017,Sep,4,13
18.29,2017,Sep,5,13
18.31,2017,Sep,6,13
18.72,2017,Sep,7,13
20.13,2017,Sep,8,13
19.43,2017,Sep,9,13
20.43,2017,Sep,10,13
23.49,2017,Sep,11,13
24.12,2017,Sep,12,13
22.32,2017,Sep,13,13
20.43,2017,Sep,14,13
20.43,2017,Sep,15,13
20.43,2017,Sep,16,13
20.1,2017,Sep,17,13
18.44,2017,Sep,18,13
18.39,2017,Sep,19,13
18.4,2017,Sep,20,13
20.81,2017,Sep,21,13
20.44,2017,Sep,22,13
19.55,2017,Sep,23,13
18.44,2017,Sep,0,14
18.7,2017,Sep,1,14
18.39,2017,Sep,2,14
18.3,2017,Sep,3,14
18.29,2017,Sep,4,14
18.43,2017,Sep,5,14
18.45,2017,Sep,6,14
20.44,2017,Sep,7,14
20.43,2017,Sep,8,14
23.2,2017,Sep,9,14
25.49,2017,Sep,10,14
27.11,2017,Sep,11,14
26.68,2017,Sep,12,14
21.19,2017,Sep,13,14
20.44,2017,Sep,14,14
24.9,2017,Sep,15,14
22.04,2017,Sep,16,14
25.04,2017,Sep,17,14
22.71,2017,Sep,18,14
21.01,2017,Sep,19,14
21.72,2017,Sep,20,14
27.46,2017,Sep,21,14
24.48,2017,Sep,22,14
20.54,2017,Sep,23,14
19.78,2017,Sep,0,15
18.45,2017,Sep,1,15
18.5,2017,Sep,2,15
18.46,2017,Sep,3,15
18.5,2017,Sep,4,15
18.5,2017,Sep,5,15
20.07,2017,Sep,6,15
20.43,2017,Sep,7,15
21.61,2017,Sep,8,15
26.05,2017,Sep,9,15
27.52,2017,Sep,10,15
27.77,2017,Sep,11,15
27.77,2017,Sep,12,15
21.14,2017,Sep,13,15
20.44,2017,Sep,14,15
20.44,2017,Sep,15,15
20.43,2017,Sep,16,15
20.43,2017,Sep,17,15
20.42,2017,Sep,18,15
20.42,2017,Sep,19,15
20.42,2017,Sep,20,15
22.34,2017,Sep,21,15
20.02,2017,Sep,22,15
20.39,2017,Sep,23,15
22.89,2017,Sep,0,16
18.73,2017,Sep,1,16
18.44,2017,Sep,2,16
18.39,2017,Sep,3,16
18.43,2017,Sep,4,16
18.51,2017,Sep,5,16
18.42,2017,Sep,6,16
18.49,2017,Sep,7,16
18.4,2017,Sep,8,16
18.46,2017,Sep,9,16
20.17,2017,Sep,10,16
19.3,2017,Sep,11,16
18.48,2017,Sep,12,16
18.39,2017,Sep,13,16
18.39,2017,Sep,14,16
18.3,2017,Sep,15,16
18.29,2017,Sep,16,16
18.32,2017,Sep,17,16
18.29,2017,Sep,18,16
18.28,2017,Sep,19,16
17.28,2017,Sep,20,16
18.28,2017,Sep,21,16
18.05,2017,Sep,22,16
16.27,2017,Sep,23,16
15.83,2017,Sep,0,17
15.61,2017,Sep,1,17
15.4,2017,Sep,2,17
15.4,2017,Sep,3,17
15.41,2017,Sep,4,17
15.41,2017,Sep,5,17
15.41,2017,Sep,6,17
17.47,2017,Sep,7,17
15.41,2017,Sep,8,17
15.82,2017,Sep,9,17
18.23,2017,Sep,10,17
18.29,2017,Sep,11,17
18.29,2017,Sep,12,17
18.31,2017,Sep,13,17
18.39,2017,Sep,14,17
18.44,2017,Sep,15,17
18.5,2017,Sep,16,17
18.5,2017,Sep,17,17
18.49,2017,Sep,18,17
18.43,2017,Sep,19,17
18.42,2017,Sep,20,17
18.54,2017,Sep,21,17
18.33,2017,Sep,22,17
18.37,2017,Sep,23,17
18.28,2017,Sep,0,18
17.56,2017,Sep,1,18
15.54,2017,Sep,2,18
15.63,2017,Sep,3,18
18.28,2017,Sep,4,18
18.28,2017,Sep,5,18
18.34,2017,Sep,6,18
20.96,2017,Sep,7,18
27.34,2017,Sep,8,18
27.77,2017,Sep,9,18
27.77,2017,Sep,10,18
28.29,2017,Sep,11,18
27.82,2017,Sep,12,18
27.79,2017,Sep,13,18
26.45,2017,Sep,14,18
24.48,2017,Sep,15,18
20.74,2017,Sep,16,18
20.43,2017,Sep,17,18
18.77,2017,Sep,18,18
18.46,2017,Sep,19,18
18.39,2017,Sep,20,18
18.35,2017,Sep,21,18
18.28,2017,Sep,22,18
18.24,2017,Sep,23,18
17.72,2017,Sep,0,19
17.6,2017,Sep,1,19
16.36,2017,Sep,2,19
15.9,2017,Sep,3,19
18.21,2017,Sep,4,19
18.29,2017,Sep,5,19
18.3,2017,Sep,6,19
18.53,2017,Sep,7,19
18.51,2017,Sep,8,19
18.44,2017,Sep,9,19
18.51,2017,Sep,10,19
18.49,2017,Sep,11,19
18.37,2017,Sep,12,19
18.39,2017,Sep,13,19
18.39,2017,Sep,14,19
18.39,2017,Sep,15,19
18.45,2017,Sep,16,19
18.46,2017,Sep,17,19
18.46,2017,Sep,18,19
18.36,2017,Sep,19,19
18.29,2017,Sep,20,19
18.29,2017,Sep,21,19
18.23,2017,Sep,22,19
16.27,2017,Sep,23,19
15.41,2017,Sep,0,20
15.41,2017,Sep,1,20
13.64,2017,Sep,2,20
13.48,2017,Sep,3,20
14.44,2017,Sep,4,20
15.41,2017,Sep,5,20
15.41,2017,Sep,6,20
17.94,2017,Sep,7,20
18.29,2017,Sep,8,20
18.38,2017,Sep,9,20
18.37,2017,Sep,10,20
18.28,2017,Sep,11,20
18.28,2017,Sep,12,20
18.28,2017,Sep,13,20
18.28,2017,Sep,14,20
18.25,2017,Sep,15,20
18.26,2017,Sep,16,20
18.28,2017,Sep,17,20
18.28,2017,Sep,18,20
18.32,2017,Sep,19,20
18.39,2017,Sep,20,20
18.36,2017,Sep,21,20
18.29,2017,Sep,22,20
18.27,2017,Sep,23,20
17.55,2017,Sep,0,21
17.38,2017,Sep,1,21
15.41,2017,Sep,2,21
18.05,2017,Sep,3,21
17.87,2017,Sep,4,21
16.23,2017,Sep,5,21
18.1,2017,Sep,6,21
20.18,2017,Sep,7,21
20.58,2017,Sep,8,21
20.42,2017,Sep,9,21
23.9,2017,Sep,10,21
